IID eye_color
1010 brown
1013 hazel/brown-green
1020 blue
1022 blue-green
1024 blue
1026 hazel/brown-green
1028 blue
1033 brown
1034 brown
1035 hazel/brown-green
1036 brown
1039 blue
1041 blue
1042 green
1047 blue
1058 blue
1060 brown
1066 blue-grey
1071 hazel/brown-green
1074 blue
1075 hazel/brown-green
1077 blue-grey
1078 brown
1079 brown
1081 brown
1085 blue-green
1091 blue
1092 blue
10 brown
1103 blue
1104 brown
1114 brown
1121 hazel/brown-green
1125 brown
1129 blue
1131 blue
1133 blue
1134 blue-green
1142 brown
1147 blue
1163 brown
1165 blue-green
1173 dark_brown
1177 blue-green
1183 brown
118 brown
1190 green
1196 green
11 brown
1209 brown
1210 brown
1214 blue
1221 hazel/brown-green
1227 blue
1233 brown
1235 brown
1239 amber-brown
123 blue
124 green
1259 brown
1269 green
126 brown
1275 dark_blue
1281 brown
1283 blue-grey
1288 hazel/brown-green
1290 brown
1305 brown
1312 hazel/brown-green
1325 green
1330 green
1338 brown
1341 blue
1342 blue
1366 blue
1374 green
1375 dark_brown
1379 blue-grey
1382 hazel/brown-green
1384 hazel/brown-green
1392 hazel/brown-green
1393 blue
13 brown
1401 brown
1404 blue
1412 blue
1414 brown
141 brown
1420 brown
1424 blue-grey
1426 green
1430 brown
1432 green
1440 blue
1442 blue
1445 green
1446 blue
1447 blue
144 brown
1450 brown
1459 blue
1462 brown
1465 green
1466 brown
1467 brown
146 brown
1470 brown
1491 green
1494 blue
1499 blue-green
14 brown
1503 blue
1507 blue
1514 blue
1515 green
1519 brown
1521 blue
1522 brown
1523 brown
1531 hazel/brown-green
1532 dark_brown
1537 brown
154 brown
1561 blue
1564 brown
1565 brown
1566 brown
1568 hazel/brown-green
1573 brown
1578 blue
1582 brown
1588 blue
1589 brown
1593 hazel/brown-green
1595 green
1599 blue-green
159 blue-green
1600 blue
160 blue-green
1610 blue
1615 brown
1623 blue
1625 brown
1626 brown
1627 brown
1631 brown
1641 green
1647 green
1653 brown
1658 blue-green
1659 brown
1664 blue
1668 brown
1669 hazel/brown-green
1674 blue
1675 hazel/brown-green
1678 brown
1682 brown
1685 hazel/brown-green
1686 brown
168 hazel/brown-green
1695 brown
1697 green
1699 brown
16 blue-grey
1702 brown
1705 blue
1706 brown
1707 green
1712 green
1715 hazel/brown-green
1717 hazel/brown-green
1718 blue
1720 blue
1723 brown
1727 brown
1731 brown
1735 hazel/brown-green
1737 green
1742 blue-green
1743 brown
1745 green
1759 brown
175 brown
1763 blue
1764 blue
1772 brown
1775 green
1776 green
1777 amber-brown
1778 brown
177 dark_blue
1780 brown
1784 brown
1785 hazel/brown-green
1788 blue
1790 hazel/brown-green
17 green
1802 blue
1808 blue-green
180 hazel/brown-green
1810 brown
1811 green
1813 blue
1814 blue
1815 blue
1822 hazel/brown-green
1825 hazel/brown-green
1827 brown
1833 blue
1841 blue
1848 brown
1851 brown
1853 green
1858 blue-green
1875 green
1876 green
1877 brown
1879 dark_brown
187 brown
1887 hazel/brown-green
1889 blue
1892 green
189 brown
1901 brown
1902 blue-green
1903 blue
1904 blue
1952 brown
1958 hazel/brown-green
1963 brown
1964 blue
1968 blue
1970 blue
1975 hazel/brown-green
1980 hazel/brown-green
1984 blue
1985 green
1987 brown
1991 brown
1992 brown
1993 blue
1996 brown
1 blue-green
2000 green-gray
2001 blue
2004 blue-grey
2006 blue-green
2008 hazel/brown-green
2009 green
200 blue
2011 brown
2013 brown
2018 brown
2022 blue
2023 green
2024 blue
2025 hazel/brown-green
2028 green
202 blue
2030 dark_blue
2034 blue
2035 dark_brown
2039 blue-green
203 brown
2040 hazel/brown-green
2041 brown
2042 blue-green
2047 brown
2048 blue-green
204 blue-green
2050 hazel/brown-green
2052 blue-green
2053 brown
2055 blue-green
2056 blue
2064 blue
2067 brown
2074 dark_blue
2075 dark_brown
2076 blue-green
2077 brown
207 blue
2080 blue-green
2083 green
2090 hazel/brown-green
2096 hazel/brown-green
2099 blue-grey
210 blue
2116 blue-grey
2133 brown
2151 green
2153 brown
2158 green
215 blue
2162 hazel/brown-green
2166 blue
216 blue
2177 blue
2183 hazel/brown-green
2202 green
2203 blue
2207 hazel/brown-green
2212 green-gray
2214 hazel/brown-green
2217 brown
2236 brown
2238 blue
2239 brown
2249 blue-green
2274 blue-grey
2276 brown
2278 blue-grey
2279 dark_brown
2288 hazel/brown-green
2291 blue-grey
2297 hazel/brown-green
22 green
2307 blue-green
2314 hazel/brown-green
2329 hazel/brown-green
2334 blue-green
2350 blue-green
2356 blue-green
2358 brown
2361 green
2362 green
2367 blue-green
2371 brown
2385 hazel/brown-green
2393 green
2402 brown
2412 blue-grey
2419 blue
241 green
2421 brown
2453 hazel/brown-green
2454 blue
2455 brown
2456 blue
2457 hazel/brown-green
