"IID" "FID" "eye_color"
1010 1010 1
1013 1013 1
1020 1020 2
1022 1022 2
1024 1024 2
1026 1026 1
1028 1028 2
1033 1033 1
1034 1034 1
1035 1035 1
1036 1036 1
1039 1039 2
1041 1041 2
1042 1042 2
1047 1047 2
1058 1058 2
1060 1060 1
1066 1066 2
1071 1071 1
1074 1074 2
1075 1075 1
1077 1077 2
1078 1078 1
1079 1079 1
1081 1081 1
1085 1085 2
1091 1091 2
1092 1092 2
10 10 1
1103 1103 2
1104 1104 1
1114 1114 1
1121 1121 1
1125 1125 1
1129 1129 2
1131 1131 2
1133 1133 2
1134 1134 2
1142 1142 1
1147 1147 2
1163 1163 1
1165 1165 2
1173 1173 1
1177 1177 2
1183 1183 1
118 118 1
1190 1190 2
1196 1196 2
11 11 1
1209 1209 1
1210 1210 1
1214 1214 2
1221 1221 1
1227 1227 2
1233 1233 1
1235 1235 1
1239 1239 1
123 123 2
124 124 2
1259 1259 1
1269 1269 2
126 126 1
1275 1275 2
1281 1281 1
1283 1283 2
1288 1288 1
1290 1290 1
1305 1305 1
1312 1312 1
1325 1325 2
1330 1330 2
1338 1338 1
1341 1341 2
1342 1342 2
1366 1366 2
1374 1374 2
1375 1375 1
1379 1379 2
1382 1382 1
1384 1384 1
1392 1392 1
1393 1393 2
13 13 1
1401 1401 1
1404 1404 2
1412 1412 2
1414 1414 1
141 141 1
1420 1420 1
1424 1424 2
1426 1426 2
1430 1430 1
1432 1432 2
1440 1440 2
1442 1442 2
1445 1445 2
1446 1446 2
1447 1447 2
144 144 1
1450 1450 1
1459 1459 2
1462 1462 1
1465 1465 2
1466 1466 1
1467 1467 1
146 146 1
1470 1470 1
1491 1491 2
1494 1494 2
1499 1499 2
14 14 1
1503 1503 2
1507 1507 2
1514 1514 2
1515 1515 2
1519 1519 1
1521 1521 2
1522 1522 1
1523 1523 1
1531 1531 1
1532 1532 1
1537 1537 1
154 154 1
1561 1561 2
1564 1564 1
1565 1565 1
1566 1566 1
1568 1568 1
1573 1573 1
1578 1578 2
1582 1582 1
1588 1588 2
1589 1589 1
1593 1593 1
1595 1595 2
1599 1599 2
159 159 2
1600 1600 2
160 160 2
1610 1610 2
1615 1615 1
1623 1623 2
1625 1625 1
1626 1626 1
1627 1627 1
1631 1631 1
1641 1641 2
1647 1647 2
1653 1653 1
1658 1658 2
1659 1659 1
1664 1664 2
1668 1668 1
1669 1669 1
1674 1674 2
1675 1675 1
1678 1678 1
1682 1682 1
1685 1685 1
1686 1686 1
168 168 1
1695 1695 1
1697 1697 2
1699 1699 1
16 16 2
1702 1702 1
1705 1705 2
1706 1706 1
1707 1707 2
1712 1712 2
1715 1715 1
1717 1717 1
1718 1718 2
1720 1720 2
1723 1723 1
1727 1727 1
1731 1731 1
1735 1735 1
1737 1737 2
1742 1742 2
1743 1743 1
1745 1745 2
1759 1759 1
175 175 1
1763 1763 2
1764 1764 2
1772 1772 1
1775 1775 2
1776 1776 2
1777 1777 1
1778 1778 1
177 177 2
1780 1780 1
1784 1784 1
1785 1785 1
1788 1788 2
1790 1790 1
17 17 2
1802 1802 2
1808 1808 2
180 180 1
1810 1810 1
1811 1811 2
1813 1813 2
1814 1814 2
1815 1815 2
1822 1822 1
1825 1825 1
1827 1827 1
1833 1833 2
1841 1841 2
1848 1848 1
1851 1851 1
1853 1853 2
1858 1858 2
1875 1875 2
1876 1876 2
1877 1877 1
1879 1879 1
187 187 1
1887 1887 1
1889 1889 2
1892 1892 2
189 189 1
1901 1901 1
1902 1902 2
1903 1903 2
1904 1904 2
1952 1952 1
1958 1958 1
1963 1963 1
1964 1964 2
1968 1968 2
1970 1970 2
1975 1975 1
1980 1980 1
1984 1984 2
1985 1985 2
1987 1987 1
1991 1991 1
1992 1992 1
1993 1993 2
1996 1996 1
1 1 2
2000 2000 2
2001 2001 2
2004 2004 2
2006 2006 2
2008 2008 1
2009 2009 2
200 200 2
2011 2011 1
2013 2013 1
2018 2018 1
2022 2022 2
2023 2023 2
2024 2024 2
2025 2025 1
2028 2028 2
202 202 2
2030 2030 2
2034 2034 2
2035 2035 1
2039 2039 2
203 203 1
2040 2040 1
2041 2041 1
2042 2042 2
2047 2047 1
2048 2048 2
204 204 2
2050 2050 1
2052 2052 2
2053 2053 1
2055 2055 2
2056 2056 2
2064 2064 2
2067 2067 1
2074 2074 2
2075 2075 1
2076 2076 2
2077 2077 1
207 207 2
2080 2080 2
2083 2083 2
2090 2090 1
2096 2096 1
2099 2099 2
210 210 2
2116 2116 2
2133 2133 1
2151 2151 2
2153 2153 1
2158 2158 2
215 215 2
2162 2162 1
2166 2166 2
216 216 2
2177 2177 2
2183 2183 1
2202 2202 2
2203 2203 2
2207 2207 1
2212 2212 2
2214 2214 1
2217 2217 1
2236 2236 1
2238 2238 2
2239 2239 1
2249 2249 2
2274 2274 2
2276 2276 1
2278 2278 2
2279 2279 1
2288 2288 1
2291 2291 2
2297 2297 1
22 22 2
2307 2307 2
2314 2314 1
2329 2329 1
2334 2334 2
2350 2350 2
2356 2356 2
2358 2358 1
2361 2361 2
2362 2362 2
2367 2367 2
2371 2371 1
2385 2385 1
2393 2393 2
2402 2402 1
2412 2412 2
2419 2419 2
241 241 2
2421 2421 1
2453 2453 1
2454 2454 2
2455 2455 1
2456 2456 2
2457 2457 1
2498 2498 2
2510 2510 2
2512 2512 1
2513 2513 1
2516 2516 2
251 251 2
252 252 2
2535 2535 1
253 253 2
2542 2542 1
2554 2554 2
2557 2557 1
2558 2558 1
2568 2568 2
2570 2570 2
2571 2571 1
2574 2574 1
2576 2576 1
258 258 1
2616 2616 1
2628 2628 1
262 262 1
2633 2633 2
2635 2635 2
2645 2645 1
2648 2648 1
2651 2651 2
2660 2660 2
